service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1634_PO,0,0,0,0,0,0,0,20260627,20270131
1634_SO,0,0,0,0,0,0,0,20260627,20270131
1634_SW,0,0,0,0,0,0,0,20260627,20270131
1634_PT,0,0,0,0,0,0,0,20260627,20270131
1635_PO,0,0,0,0,0,0,0,20260627,20270131
1635_SO,0,0,0,0,0,0,0,20260627,20270131
1635_SW,0,0,0,0,0,0,0,20260627,20270131
1635_PT,0,0,0,0,0,0,0,20260627,20270131
1635_CZ,0,0,0,0,0,0,0,20260627,20270131
